date,county,prob_deaths,fips,new_prob_deaths
2020-08-27,howard,6,24027,0
2020-08-27,kent,1,24029,0
2020-08-27,montgomery,39,24031,0
2020-08-27,prince_georges,23,24033,0
2020-08-27,queen_annes,1,24035,0
2020-08-27,somerset,0,24039,0
2020-08-27,st_marys,0,24037,0
2020-08-27,talbot,0,24041,0
2020-08-27,washington,0,24043,0
2020-08-27,wicomico,0,24045,0
2020-08-27,worcester,1,24047,0
2020-08-27,unknown,1,NA,0
2020-08-28,allegany,0,24001,0
2020-08-28,anne_arundel,10,24003,0
2020-08-28,baltimore,23,24005,0
2020-08-28,baltimore_city,20,24510,1
2020-08-28,calvert,1,24009,0
2020-08-28,caroline,0,24011,0
2020-08-28,carroll,3,24013,0
2020-08-28,cecil,1,24015,0
2020-08-28,charles,2,24017,0
2020-08-28,dorchester,0,24019,0
2020-08-28,frederick,7,24021,0
2020-08-28,garrett,0,24023,0
2020-08-28,harford,3,24025,0
2020-08-28,howard,6,24027,0
2020-08-28,kent,1,24029,0
2020-08-28,montgomery,39,24031,0
2020-08-28,prince_georges,23,24033,0
2020-08-28,queen_annes,1,24035,0
2020-08-28,somerset,0,24039,0
2020-08-28,st_marys,0,24037,0
2020-08-28,talbot,0,24041,0
2020-08-28,washington,0,24043,0
2020-08-28,wicomico,0,24045,0
2020-08-28,worcester,1,24047,0
2020-08-28,unknown,2,NA,1
2020-08-29,allegany,0,24001,0
2020-08-29,anne_arundel,10,24003,0
2020-08-29,baltimore,23,24005,0
2020-08-29,baltimore_city,20,24510,0
2020-08-29,calvert,1,24009,0
2020-08-29,caroline,0,24011,0
2020-08-29,carroll,3,24013,0
2020-08-29,cecil,1,24015,0
2020-08-29,charles,2,24017,0
2020-08-29,dorchester,0,24019,0
2020-08-29,frederick,7,24021,0
2020-08-29,garrett,0,24023,0
2020-08-29,harford,3,24025,0
2020-08-29,howard,6,24027,0
2020-08-29,kent,1,24029,0
2020-08-29,montgomery,39,24031,0
2020-08-29,prince_georges,23,24033,0
2020-08-29,queen_annes,2,24035,1
2020-08-29,somerset,0,24039,0
2020-08-29,st_marys,0,24037,0
2020-08-29,talbot,0,24041,0
2020-08-29,washington,0,24043,0
2020-08-29,wicomico,0,24045,0
2020-08-29,worcester,1,24047,0
2020-08-29,unknown,1,NA,0
2020-08-30,allegany,0,24001,0
2020-08-30,anne_arundel,10,24003,0
2020-08-30,baltimore,23,24005,0
2020-08-30,baltimore_city,20,24510,0
2020-08-30,calvert,1,24009,0
2020-08-30,caroline,0,24011,0
2020-08-30,carroll,3,24013,0
2020-08-30,cecil,1,24015,0
2020-08-30,charles,2,24017,0
2020-08-30,dorchester,0,24019,0
2020-08-30,frederick,7,24021,0
2020-08-30,garrett,0,24023,0
2020-08-30,harford,3,24025,0
2020-08-30,howard,6,24027,0
2020-08-30,kent,2,24029,1
2020-08-30,montgomery,39,24031,0
2020-08-30,prince_georges,23,24033,0
2020-08-30,queen_annes,1,24035,0
2020-08-30,somerset,0,24039,0
2020-08-30,st_marys,0,24037,0
2020-08-30,talbot,0,24041,0
2020-08-30,washington,0,24043,0
2020-08-30,wicomico,0,24045,0
2020-08-30,worcester,1,24047,0
2020-08-30,unknown,1,NA,0
2020-08-31,allegany,0,24001,0
2020-08-31,anne_arundel,10,24003,0
2020-08-31,baltimore,23,24005,0
2020-08-31,baltimore_city,20,24510,0
2020-08-31,calvert,1,24009,0
2020-08-31,caroline,0,24011,0
2020-08-31,carroll,3,24013,0
2020-08-31,cecil,1,24015,0
2020-08-31,charles,2,24017,0
2020-08-31,dorchester,0,24019,0
2020-08-31,frederick,7,24021,0
2020-08-31,garrett,0,24023,0
2020-08-31,harford,3,24025,0
2020-08-31,howard,6,24027,0
2020-08-31,kent,2,24029,0
2020-08-31,montgomery,39,24031,0
2020-08-31,prince_georges,23,24033,0
2020-08-31,queen_annes,1,24035,0
2020-08-31,somerset,0,24039,0
2020-08-31,st_marys,0,24037,0
2020-08-31,talbot,0,24041,0
2020-08-31,washington,0,24043,0
2020-08-31,wicomico,0,24045,0
2020-08-31,worcester,1,24047,0
2020-08-31,unknown,1,NA,0
2020-09-01,allegany,0,24001,0
2020-09-01,anne_arundel,10,24003,0
2020-09-01,baltimore,23,24005,0
2020-09-01,baltimore_city,20,24510,0
2020-09-01,calvert,1,24009,0
2020-09-01,caroline,0,24011,0
2020-09-01,carroll,3,24013,0
2020-09-01,cecil,1,24015,0
2020-09-01,charles,2,24017,0
2020-09-01,dorchester,0,24019,0
2020-09-01,frederick,7,24021,0
2020-09-01,garrett,0,24023,0
2020-09-01,harford,3,24025,0
2020-09-01,howard,6,24027,0
2020-09-01,kent,2,24029,0
2020-09-01,montgomery,39,24031,0
2020-09-01,prince_georges,23,24033,0
2020-09-01,queen_annes,1,24035,0
2020-09-01,somerset,0,24039,0
