date,county,fips,daily,average
2020-04-15,worcester,24047,0,0.1216
2020-04-16,allegany,24001,0.08109999999999999,0.0721
2020-04-16,anne_arundel,24003,0.3275,0.2663
2020-04-16,baltimore,24005,0.177,0.1663
2020-04-16,baltimore_city,24510,0.2296,0.24609999999999999
2020-04-16,calvert,24009,0.07139999999999999,0.2243
2020-04-16,caroline,24011,0.125,0.1292
2020-04-16,carroll,24013,0.2375,0.1421
2020-04-16,cecil,24015,0.2667,0.2788
2020-04-16,charles,24017,0.23420000000000002,0.23079999999999998
2020-04-16,dorchester,24019,0.125,0.10289999999999999
2020-04-16,frederick,24021,0.3232,0.27440000000000003
2020-04-16,garrett,24023,0,0
2020-04-16,harford,24025,0.1413,0.11810000000000001
2020-04-16,howard,24027,0.2816,0.2685
2020-04-16,kent,24029,0,0.09029999999999999
2020-04-16,montgomery,24031,0.3594,0.3176
2020-04-16,prince_georges,24033,0.4143,0.389
2020-04-16,queen_annes,24035,0,0.0286
2020-04-16,somerset,24039,0.375,0.19640000000000002
2020-04-16,st_marys,24037,0.0667,0.1234
2020-04-16,talbot,24041,0,0.0548
2020-04-16,washington,24043,0.0326,0.1193
2020-04-16,wicomico,24045,0.3276,0.43810000000000004
2020-04-16,worcester,24047,0.11109999999999999,0.0955
2020-04-17,allegany,24001,0.25,0.0959
2020-04-17,anne_arundel,24003,0.239,0.2816
2020-04-17,baltimore,24005,0.171,0.1696
2020-04-17,baltimore_city,24510,0.2464,0.2515
2020-04-17,calvert,24009,0.22219999999999998,0.21170000000000003
2020-04-17,caroline,24011,0.2778,0.16879999999999998
2020-04-17,carroll,24013,0.23879999999999998,0.1524
2020-04-17,cecil,24015,0.3333,0.30260000000000004
2020-04-17,charles,24017,0.12359999999999999,0.209
2020-04-17,dorchester,24019,0.15380000000000002,0.1045
2020-04-17,frederick,24021,0.2086,0.2591
2020-04-17,garrett,24023,0,0
2020-04-17,harford,24025,0.1807,0.1246
2020-04-17,howard,24027,0.1981,0.26789999999999997
2020-04-17,kent,24029,0.3333,0.1458
2020-04-17,montgomery,24031,0.331,0.32189999999999996
2020-04-17,prince_georges,24033,0.39640000000000003,0.3943
2020-04-17,queen_annes,24035,0.1429,0.049
2020-04-17,somerset,24039,0.4,0.2536
2020-04-17,st_marys,24037,0.0556,0.1099
2020-04-17,talbot,24041,0,0.019
2020-04-17,washington,24043,0.0877,0.11539999999999999
2020-04-17,wicomico,24045,0.413,0.43799999999999994
2020-04-17,worcester,24047,0.087,0.0793
2020-04-18,allegany,24001,0.3,0.1344
2020-04-18,anne_arundel,24003,0.2321,0.2774
2020-04-18,baltimore,24005,0.1425,0.1678
2020-04-18,baltimore_city,24510,0.33409999999999995,0.271
2020-04-18,calvert,24009,0.11900000000000001,0.20149999999999998
2020-04-18,caroline,24011,0.35710000000000003,0.1931
2020-04-18,carroll,24013,0.1959,0.16579999999999998
2020-04-18,cecil,24015,0.1081,0.3181
2020-04-18,charles,24017,0.1398,0.2043
2020-04-18,dorchester,24019,0,0.0949
2020-04-18,frederick,24021,0.2707,0.2636
2020-04-18,garrett,24023,0,0
2020-04-18,harford,24025,0.193,0.14
2020-04-18,howard,24027,0.2868,0.2753
2020-04-18,kent,24029,0.1875,0.1493
2020-04-18,montgomery,24031,0.2987,0.3165
2020-04-18,prince_georges,24033,0.37450000000000006,0.3924
2020-04-18,queen_annes,24035,0.3125,0.06509999999999999
2020-04-18,somerset,24039,0.2857,0.2944
2020-04-18,st_marys,24037,0.07690000000000001,0.11289999999999999
2020-04-18,talbot,24041,0.1,0.0333
2020-04-18,washington,24043,0.0857,0.1093
2020-04-18,wicomico,24045,0.3736,0.43420000000000003
2020-04-18,worcester,24047,0.4,0.1058
2020-04-19,allegany,24001,0.2353,0.14279999999999998
2020-04-19,anne_arundel,24003,0.223,0.2668
2020-04-19,baltimore,24005,0.12119999999999999,0.1606
2020-04-19,baltimore_city,24510,0.19399999999999998,0.2639
